收集时间: 2015-07-14 01:51:36.354113 +0800 CST => 2015-07-10 00:00:00 +0800 CST

tid: 3892396753,作者: 我爸名字叫上帝,标题: 作为一名走水路的一名军人，我决定我们水路军进击钓鱼岛坐等小日本

tid: 3887243763,作者: 绝句清凉,标题: 【求助】关于建立群组服的要点有哪些？
时间: %s,2015-07-11 21:13:27,摘要: [#文字: 我想建个群组服，但不知道建立群组服有什么需要注意的，希望有经验的人说一下- -]

tid: 3887241471,作者: 士官长65,标题: 《《急救》》
时间: %s,2015-07-11 21:12:29,摘要: [#文字: 已经整合了很久了，但是还没成功QAQ QAQ QAQ 求高手帮我整合一个1.8.1版本的光晕mod 谢谢啊！]

tid: 3887239448,作者: 爻YA0,"标题: 救助""启动失败,在创建新进程时发生错误,可能是java路径错误"""
时间: %s,2015-07-11 21:11:37,摘要: []

tid: 3887235291,作者: AECMD,标题: 关于村庄mod的
时间: %s,2015-07-11 21:09:50,摘要: [#文字: 我现在可以起房子了，但为什么我不能卖砖块给村民啊]

tid: 3887231975,作者: 墨漁癫,标题: 手机地狱插件～pe的mod！
时间: %s,2015-07-11 21:08:19,摘要: [#文字: 手机地狱插件～pe的mod！]

tid: 3887231449,作者: hs_IaiMC,标题: 【作死教程】让装备架变成村民√
时间: %s,2015-07-11 21:08:04,摘要: [#文字: 村民太丑了有木有？有木有？ ; #图片: http://imgsrc.baidu.com/forum/pic/item/a8319c389b504fc24eedbc36e3dde71190ef6d76.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/8bc8b42397dda1442c6a6381b4b7d0a20cf48645.jpg]

tid: 3887231371,作者: Sljjheaven,标题: IPad上怎么使用mss
时间: %s,2015-07-11 21:08:02,摘要: []

tid: 3887231330,作者: 奥博莱嗯,标题: 求助，楼主玩的创造模式，不知道
时间: %s,2015-07-11 21:08:01,摘要: [#文字: 求助，楼主玩的创造模式，不知道怎么就进了这地方，我大神知道怎么出去吗？急等 ; #图片: http://imgsrc.baidu.com/forum/pic/item/c85505a4462309f7c027a321740e0cf3d7cad65c.jpg]

tid: 3887230815,作者: L一TM,标题: 求大神帮一下忙，1.8.0准星瞄到怪周围地形会变亮，怎么办？
时间: %s,2015-07-11 21:07:47,摘要: [#文字: 貌似是装了血量显示之后就这样了 ; #图片: http://imgsrc.baidu.com/forum/pic/item/21018dd3fd1f41345ebe0a4d231f95cad1c85e13.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/600eb5ef76c6a7ef6fe2a715fbfaaf51f2de66d8.jpg]

tid: 3887229086,作者: yxy1357,标题: 哪个大大有这这图的1080P的尺寸的，找到就删，谢谢啦
时间: %s,2015-07-11 21:07:01,摘要: [#图片: http://imgsrc.baidu.com/forum/pic/item/4cf053094b36acafa4cf98cf7ad98d1001e99cf1.jpg]

tid: 3887228318,作者: 阿德怪塔,标题: him隐藏多年的密秘。。。。
时间: %s,2015-07-11 21:06:41,摘要: [#文字: 扁桃镇楼 ; #图片: http://imgsrc.baidu.com/forum/pic/item/c85505a4462309f7c1daa221740e0cf3d7cad66f.jpg]

tid: 3887219246,作者: wanghaoyured,标题: 关于玩mc服务器延迟问题
时间: %s,2015-07-11 21:02:35,摘要: [#文字: RT，我家铁通光纤网（无良坑爹铁通），玩服务器联机根本登录不上去，偶尔可以勉强登录，进去走几步一延迟，打怪打着打着怪突然就不动了，几秒钟我我就]

tid: 3887217790,作者: 悲伤侵噬,标题: 【求助贴】Ipad版我的世界在哪个文件夹啊
时间: %s,2015-07-11 21:01:54,摘要: [#文字: 如题，是这个么; #图片: http://imgsrc.baidu.com/forum/pic/item/20f0eb1b9d16fdfa08fcc4ddb28f8c5494ee7b14.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/6ce73f4c510fd9f9b184575a232dd42a2834a415.jpg]

tid: 3887217755,作者: liaohanqi5,标题: 求助  求资源 求minecraft客户端1.8.5或更新版本下载链接
时间: %s,2015-07-11 21:01:53,摘要: [#文字: 如题]

tid: 3887217613,作者: 籽岷,标题: ★我的世界★Minecraft《籽岷的模组生存 虚无世界2 第十二集》
时间: %s,2015-07-11 21:01:49,摘要: [#文字: 嗨~大家好~我是籽岷~今天给大家开一个新的模组生存系列~虚无世界2~Nevermine 2~内容非常丰富~希望大家喜欢~; #图片: http://imgsrc.baidu.com/forum/pic/item/0539eafc1e178a82a39c7d93f003738da977e804.jpg; #视频: (%s)http://v.youku.com/v_show/id_XMTI4MjQ4NjkxMg==.html]

tid: 3887217077,作者: qq903706626,标题: 笔记本玩我的世界很卡!
时间: %s,2015-07-11 21:01:34,"摘要: [#文字: 电脑配置不低,8G内存GTX860I7处理器,玩GTA5全特效都无压力,但是玩我的世界只有20FPS左右]"

tid: 3887216342,作者: 籽岷,标题: ★我的世界★Minecraft《籽岷的1.8多人PVP小游戏 弓箭大作战》
时间: %s,2015-07-11 21:01:15,摘要: [#文字: 下载地址见视频简介~; #图片: http://imgsrc.baidu.com/forum/pic/item/3b2e796034a85edf38f9fc104f540923dd5475af.jpg; #视频: (%s)http://v.youku.com/v_show/id_XMTI4MjM3MTgwMA==.html]

tid: 3887215533,作者: 林钱钱林钱钱,标题: 求MC1.7.10的forge版的
时间: %s,2015-07-11 21:00:55,摘要: [#文字: MOD都不用]

tid: 3887213958,作者: 幸运的zyp123,标题: 求一好看的MC皮肤
时间: %s,2015-07-11 21:00:13,摘要: [#文字: LZ是男的]

tid: 3887201682,作者: 颓废的影魔,标题: 想给1.8安装Forge  结果出来错误的信息 怎么办 谁有1.8Forge版本
时间: %s,2015-07-11 20:54:33,摘要: [#文字:  搞了半天MOD用不了 然后去装Forge 头都大了。有没有大神 有1.8.1Forge版本的吗？; #图片: http://imgsrc.baidu.com/forum/pic/item/be1e043fb80e7becc80204d2292eb9389a506bcc.jpg]

tid: 3887199977,作者: 824689047,标题: 作为一个新手我只会撸木头...
时间: %s,2015-07-11 20:53:47,摘要: [#文字: 哪个大神能发个比较全的攻略么，小弟在此拜谢; #图片: http://imgsrc.baidu.com/forum/pic/item/be1e043fb80e7beccfea05d2292eb9389b506bf4.jpg]

tid: 3887196841,作者: kevin灬丄,标题: 求我的世界1.7.2中文完整版下载地址。。
时间: %s,2015-07-11 20:52:21,摘要: [#文字: 同标题。。]

tid: 3887195411,作者: 冯小先生的家,标题: 求助
时间: %s,2015-07-11 20:51:41,摘要: [#文字: http://tieba.baidu.com/p/3887188146?share=9105&fr=share 　　　窝数一二三，尾巴你出来=血=　　　　　 　　尾巴尾巴，窝们来玩个游戏吧(>^]

tid: 3887192349,作者: 未知错误丶灬,标题: 求我的世界1.7.9服务器
时间: %s,2015-07-11 20:50:14,摘要: [#文字: 求我的世界1.7.9服务器]

tid: 3887180446,作者: 潜龙Minecreaft,标题: 潜龙“虚无世界2”实况多模组生存（欢迎大家来收看！！）
时间: %s,2015-07-11 20:44:40,摘要: []

tid: 3887176912,作者: 晔祈,标题: 请问有没有高人会修复地图
时间: %s,2015-07-11 20:42:59,摘要: [#文字: 我一个地图已经玩了四年了，有我的很多人生上的回忆，我实在舍不得它，但是地图不知道怎的出现了严重的错误，地图里有些地方会复原，有些区块变成了黑; #图片: http://imgsrc.baidu.com/forum/pic/item/7ced97119313b07e4306493b0ad7912397dd8c6d.jpg]

tid: 3887174715,作者: 楼主紫狼,标题: 为什么我下载java会这样
时间: %s,2015-07-11 20:41:55,摘要: [#文字: 求解; #图片: http://imgsrc.baidu.com/forum/pic/item/9ec7993eb13533fa596d851daed3fd1f40345bcd.jpg]

tid: 3887174024,作者: jackyang8217,标题: 求！求！求！我的世界：虚无世界2的整合包
时间: %s,2015-07-11 20:41:36,摘要: [#文字: 有人有嘛，就是斗鱼直播老戴玩的那个，谢谢谢谢]

tid: 3887171711,作者: 私私memo,标题: 求1.8.3整合包啦     电脑配置不高     各位大大帮帮忙
时间: %s,2015-07-11 20:40:31,摘要: [#文字: 1.8.3版本的 不是整合包也可以]

tid: 3887171358,作者: 苍姬Vocaloid,标题: 直播中
时间: %s,2015-07-11 20:40:21,摘要: [#文字: http://huya.com/437275488]

tid: 3887170015,作者: 90___後_,标题: 找一个有家具mod比如椅子桌子的服务器玩带朋友长期玩qq15459495
时间: %s,2015-07-11 20:39:43,摘要: []

tid: 3887169195,作者: 佛教双鱼,标题: 找基友
时间: %s,2015-07-11 20:39:20,摘要: [#文字: 求基友联机，随便用什么整合包]

tid: 3887169073,作者: _琮芊,标题: 【檀香小筑】琮芊先生的建筑回廊
时间: %s,2015-07-11 20:39:16,"摘要: [#文字: Hello,I am Mr Congqian.There are some building that made by myself. ; #图片: http://imgsrc.baidu.com/forum/pic/item/12d5f4c8a786c9179f7e4d0acf3d70cf3bc757a7.jpg]"

tid: 3887164587,作者: a515183188,标题: 新人求解，为什么创建新的世界会闪退
时间: %s,2015-07-11 20:37:13,摘要: [#文字: 操作是32位的，稍后发图，JAVA7装的也是32位，游戏在逗游下的，本子WIN8 64位可以运行但是很卡，台式32位却创建世界闪退，尝试了520，285.1024的内存; #图片: http://imgsrc.baidu.com/forum/pic/item/dcaaecea15ce36d355bd9e033cf33a87e950b163.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/1b9df458ccbf6c8151cd31dbba3eb13533fa402e.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/74c1918f8c5494ee4b89122a2bf5e0fe99257e7d.jpg]

tid: 3887162583,作者: 銀兵卫,标题: 求助QAQ 为什么我的光影什么也看不到
时间: %s,2015-07-11 20:36:18,摘要: [#图片: http://imgsrc.baidu.com/forum/pic/item/35e466166d224f4a40056e200ff790529822d100.jpg]

tid: 3887152913,作者: 夜探青楼001,标题: 谁会用矿物探测mod？
时间: %s,2015-07-11 20:31:47,摘要: [#文字: 我刚下这个mod，游戏里怎么开啊？？？不会]

tid: 3887146396,作者: 玄色琴帘,标题: 新人求助QAQ
时间: %s,2015-07-11 20:28:44,摘要: [#文字: 一直在手机上玩MC(ಥ_ಥ)现在放假想在电脑上玩，但是在百度上搜索下载根本不知道应该下哪一个QAQ 可不可以告诉我一下(ง •&]

tid: 3887142294,作者: 1033583544,标题: 求材质光影水反
时间: %s,2015-07-11 20:26:47,摘要: [#文字: 电脑是e3 960求合适的，版本是1.8.5，颜色花哨的不要]

tid: 3887141320,作者: liuyu_0710,标题: 我想对minecraft说说一个传奇老玩家的回忆录
时间: %s,2015-07-11 20:26:18,摘要: [#文字: 我玩传奇大概是从2001年开始的。那个版本的传奇我不知道叫什么名字，因为那会我才上初一。没白日门的时候。是同班同学带我去网吧玩的这个游戏。那会地]

tid: 3887141246,作者: 民者才也,标题: 求种子……IOS的1.8的 蘑菇岛种子……
时间: %s,2015-07-11 20:26:16,摘要: [#文字:  —来自Lumia 925 壮哉我大诺基亚]

tid: 3887135587,作者: 我看你直得瑟,标题: 我的世界1.8.1真的没有foege吗
时间: %s,2015-07-11 20:23:37,摘要: [#文字: 我的世界1.8.1能不能装MOD 网上到处下载不到1.8.1版本的forge ; #图片: http://imgsrc.baidu.com/forum/pic/item/12d5f4c8a786c917973a450acf3d70cf3bc757e3.jpg]

tid: 3887135526,作者: 木大木大QAQ,标题: <求助>闪退无法进入游戏
时间: %s,2015-07-11 20:23:35,摘要: [#文字: 如题，多试几次之后就跳出了这个框，求助QAQ ; #图片: http://imgsrc.baidu.com/forum/pic/item/1547f409b3de9c8204adedbc6a81800a18d843dc.jpg]

tid: 3887135373,作者: jkl200861,标题: 我的rpg。。。自己的npc自己玩。
时间: %s,2015-07-11 20:23:31,摘要: [#文字: 因为觉得玩服务器还不如先玩单机熟练一下，随便用npc来娱乐下。]

tid: 3887134009,作者: 再见旧时光118,标题: 新人这种一半是冰，一半是草地的是怎么回事啊
时间: %s,2015-07-11 20:22:52,摘要: [#文字: 我今天随便输入各种子就这样了。另外有没有类似的种子 ; #图片: http://imgsrc.baidu.com/forum/pic/item/4f8af443ad4bd11368fba3015cafa40f4bfb05e9.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/e22729d7912397dd387d8c375f82b2b7d0a28798.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/b1ccf039b6003af3b08cc853332ac65c1038b6ea.jpg]

tid: 3887130399,作者: 小態陔,标题: 工业2求助
时间: %s,2015-07-11 20:21:08,摘要: [#文字: 我的工具箱怎么合成不了]

tid: 3887128956,作者: 影子丶天蝎,标题: 告诉我这游戏到底有什么乐趣
时间: %s,2015-07-11 20:20:26,摘要: [#文字: 别喷我，我没有黑mc的意思。 ; #图片: http://imgsrc.baidu.com/forum/pic/item/7ae58a51f3deb48f4d5eb4edf61f3a292df578e9.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/d622039759ee3d6d36f092f845166d224f4adeea.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/e22729d7912397dd3b488d375f82b2b7d0a287eb.jpg]

tid: 3887126748,作者: 冰原JJH,标题: 谁来我的新服qq号385303
时间: %s,2015-07-11 20:19:21,摘要: [#文字: 谁来我的新服qq号385303966很快就整理完，名额有限快来，来晚了就进不去了，剑圣镇楼 ; #图片: http://imgsrc.baidu.com/forum/pic/item/174dbd22720e0cf3a77864c80c46f21fbe09aa11.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/1f3d570e0cf3d7ca0a791545f41fbe096b63a911.jpg]

tid: 3887124063,作者: 好擦哈哈我,标题: [解密]我的世界解密地图《海底逃生：地下住宅区》赶快戳进来
时间: %s,2015-07-11 20:18:03,摘要: [#文字: 喜欢请回复，先发图 作者推荐使用的材质：0z0craft1.6因为这个材质的村民很可爱，基岩的材质不错还有石英！; #图片: http://imgsrc.baidu.com/forum/pic/item/8dce47d9f2d3572c48e5b4ef8c13632762d0c399.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/b4e5a78ba61ea8d3197b5c37910a304e251f5843.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/2e681c12b31bb051c382981b307adab44aede07a.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/f4928c773912b31b8b38e51a8018367adab4e148.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/3b21943533fa828b4459b5d0fb1f4134970a5aae.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/5adb74da81cb39dbbab44f65d6160924ab1830af.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/b384263b5bb5c9ea9c812bd0d339b6003af3b3b6.jpg]

tid: 3887122031,作者: 尘丶星邪,标题: 【求助】现在到底要怎样才能联机
时间: %s,2015-07-11 20:17:03,摘要: [#文字: 我用的是nat123 然而我的小伙伴连接的时候都显示 求教到底怎样才能和小伙伴一起联机; #图片: http://imgsrc.baidu.com/forum/pic/item/eb9ea50a19d8bc3e6e092ef9848ba61ea8d3459b.jpg]

tid: 3887120536,作者: 393小翔,标题: 刚才下了1.7.10进去之后进去1.8.1创造的世界
时间: %s,2015-07-11 20:16:20,摘要: [#文字: 然后我再去1.8.1就没有存档了，这是为什么？有办法嘛？]

tid: 3887117214,作者: 仅此人以,标题: 新人求助
时间: %s,2015-07-11 20:14:43,摘要: [#文字: 为什么我只能玩1.7.9版本更新的版本打不开 ; #图片: http://imgsrc.baidu.com/forum/pic/item/0ccb961c8701a18bc0743b7c982f07082838fe01.jpg]

tid: 3887117029,作者: cbx720606,标题: 【原创】纯色方块mod 1.6.2可用
时间: %s,2015-07-11 20:14:38,摘要: [#文字: 自己做了一晚好辛苦呢，附赠洞穴观察方块 http://pan.baidu.com/s/1hqvn5sw ; #图片: http://imgsrc.baidu.com/forum/pic/item/e91938950a7b02082eb216d264d9f2d3572cc8ad.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/2a2b7c82b2b7d0a2afcd2daecdef76094b369a98.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/2694a2d6277f9e2f4d4a343b1930e924b899f3a1.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/75009b096b63f624112010308144ebf81a4ca3a7.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/57092c24ab18972bc74729f9e0cd7b899e510aa6.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/1547f409b3de9c820b1fd0bc6a81800a19d843ae.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/57092c24ab18972bc74f29f9e0cd7b899e510aae.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/3f868c014c086e064fdb167804087bf40ad1cbb5.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/a7bb632309f79052e8766e0d0af3d7ca7bcbd5b3.jpg]

tid: 3887112388,作者: 小贱贱jh,标题: 挖钻石的技巧 不知有没有人知道
时间: %s,2015-07-11 20:12:27,摘要: [#文字: 一楼喂度良 ; #图片: http://imgsrc.baidu.com/forum/pic/item/8d4a9619ebc4b74572da9925c9fc1e178a821551.jpg]

tid: 3887110750,作者: 丿殇丶爱,标题: 【新人报道+求助】想装个mod但是Forge不会弄..跪地求教QAQ
时间: %s,2015-07-11 20:11:40,摘要: [#文字:  求教QAQ; #图片: http://imgsrc.baidu.com/forum/pic/item/23dd581ed21b0ef412b7b76ddbc451da81cb3e40.jpg]

tid: 3887109392,作者: _表人格_,"标题: _(:з」∠)_不知道大家是否还记得一个""我大MC""吧"
时间: %s,2015-07-11 20:11:00,摘要: [#文字: 目测知道的人不超过五个 知道的基本上都是老僵尸了 ]

tid: 3887108682,作者: 灵咒僵尸,标题: 就没有人在意《minecraft 故事模式》么
时间: %s,2015-07-11 20:10:40,摘要: [#文字: 看起来好屌啊]

tid: 3887107727,作者: 夜探青楼001,标题: 有谁会吗？？
时间: %s,2015-07-11 20:10:13,摘要: [#文字: 我的世界工业mod，怎么把感应炉里的东西直接移动装到旁边的箱子里啊？？？搞了半天都不会，好烦。。是旁边！！不是和下面的一样！！！ ; #图片: http://imgsrc.baidu.com/forum/pic/item/560c56f082025aaf82ca52f8fdedab64034f1a23.jpg]

tid: 3887107325,作者: lanelovelin,标题: PC我的世界有哪几种启动器
时间: %s,2015-07-11 20:10:03,摘要: [#文字: PC我的世界有哪几种启动器]

tid: 3887101624,作者: I是苏莫失,标题: 【新人求助】如何安装mod？
时间: %s,2015-07-11 20:07:12,摘要: [#文字: 如题]

tid: 3887100480,作者: 啊啊啊呜呜呜呜,标题: 求助。。求大神速来帮忙。
时间: %s,2015-07-11 20:06:37,摘要: [#文字: 求助。。我win7没法玩mod。。 ; #图片: http://imgsrc.baidu.com/forum/pic/item/0ccb961c8701a18bcb2a307c982f07082938fedb.jpg]

tid: 3887099824,作者: 冰原JJH,标题: 谁来我新服qq号3853039
时间: %s,2015-07-11 20:06:17,摘要: [#文字: 谁来我新服qq号385303966]

tid: 3887095688,作者: guiter阁,标题: 新人跪求1.7.2原版
时间: %s,2015-07-11 20:04:08,摘要: [#文字: 置顶贴的链接都失效了。。。真的很想玩，求一个有效链接，谢谢了]

tid: 3887095637,作者: 繁星sky621,标题: 新人正版求助
时间: %s,2015-07-11 20:04:07,摘要: [#文字: 为什么上传到官网的皮肤不能在游戏中显示啊 用的皮肤站上的皮肤 游戏版本为最新的1.8.7]

tid: 3887091587,作者: lujaxn,标题: 新人求助啊222
时间: %s,2015-07-11 20:02:03,摘要: [#文字: 就是不用hamachi怎么联机啊怎么局域网进不去啊]

tid: 3887087916,作者: gcy727816783,标题: 求大神来帮我解决一下问题
时间: %s,2015-07-11 20:00:07,摘要: [#文字: 我的世界为什么连接别人服务器出现java.net.connecException:Connecyion refused:no further information:/ 而且自己创局域网世界别人也看不见 java我]

tid: 3887086488,作者: 红石TT,标题: 本人新手求好友
时间: %s,2015-07-11 19:59:23,摘要: [#文字: 求群也不错 籽岷镇楼 可望到六个好友 ٩( 'ω' )و ; #图片: http://imgsrc.baidu.com/forum/pic/item/34049551f81986187e94c9b74ced2e738ad4e6d5.jpg]

tid: 3887085578,作者: 副本转正,标题: 光纤猫如何开服
时间: %s,2015-07-11 19:58:55,摘要: [#文字: 以前宽带路由器开服开的挺爽的，然后升级了光纤，现在怎么搞。。。求大神; #图片: http://imgsrc.baidu.com/forum/pic/item/531810fae6cd7b89be051cb0092442a7d9330eb2.jpg]

tid: 3887085395,作者: 便便的粪粪,标题: 关于视频设置的问题
时间: %s,2015-07-11 19:58:50,摘要: [#文字: 好丑，方块和方块之间都分不清界线了。 然后墙角也看不见了，局部截图一看，还以为是平地。 怎么解决 ; #图片: http://imgsrc.baidu.com/forum/pic/item/140c957eca806538a923832091dda144ac3482d3.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/4ef530ce36d3d53921f428f03c87e950342ab0d3.jpg]

tid: 3887083041,作者: 110蹲在下墙,标题: 求联机
时间: %s,2015-07-11 19:57:40,摘要: [#文字: 谁有玩浩方172MC加QQ：1272452909 一起玩的如果不玩了请把东西给我，不会联机的勿扰]

tid: 3887081319,作者: 心向阳我发光,标题: 求1.7.2武装飞机的操作教程
时间: %s,2015-07-11 19:56:53,摘要: [#文字: 急急急急急 急急急急急 急急急急急]

tid: 3887073492,作者: 臭不要脸偷胖次,标题: mc生存添加任何方块的mod？
时间: %s,2015-07-11 19:52:59,摘要: [#文字: mc生存在物品栏界面添加任何方块的mod是什么名字？下了个整合包，想给这个mod关掉]

tid: 3887071748,作者: 魑櫾,标题: 【拟人】画各种方块拟人和怪物
时间: %s,2015-07-11 19:52:07,摘要: [#文字: 渣渣轻喷_(:_」∠)_不定时更新(ฅ>ω<*ฅ)(好吧，其实也算暑假贴) ; #图片: http://imgsrc.baidu.com/forum/pic/item/2ef3af13632762d09be29e8ca6ec08fa503dc6c0.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/711c568da9773912fbf9bf52fe198618377ae2c1.jpg]

tid: 3887071291,作者: 我似乎叫小白,标题: 小白打了R3D的256x材质包 结果游戏变成这样了 求大神解救啊
时间: %s,2015-07-11 19:51:53,摘要: [#文字:  小白真的很想打个材质包 原版的马赛克好不舒服; #图片: http://imgsrc.baidu.com/forum/pic/item/169085ec08fa513d57e656ed3b6d55fbb2fbd950.jpg]

tid: 3887069306,作者: 王封禁,标题: 我是新手，我来找服务器。
时间: %s,2015-07-11 19:50:52,摘要: [#文字: 我想找个服务器来玩，只要开心就好，请问有谁能推荐一个给我吗？]

tid: 3887068196,作者: 13671233000,标题: 什么鬼
时间: %s,2015-07-11 19:50:17,摘要: [#图片: http://imgsrc.baidu.com/forum/pic/item/8bc8b42397dda144004c5781b4b7d0a20cf4865f.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/8bc8b42397dda14400945781b4b7d0a20cf48607.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/8e3b8e18972bd407175be8ce7d899e510fb30907.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/ec7f29338744ebf896ed5f0cdff9d72a6059a700.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/c8ddf0628535e5dd2eb09eec70c6a7efce1b6200.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/61d25e899e510fb328864ca4df33c895d1430c00.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/4c0c6c540923dd54b5349c5bd709b3de9c824859.jpg]

tid: 3887066652,作者: 优酷斗鲨,标题: 优酷斗鲨来发贴了！好奇的来看看！
时间: %s,2015-07-11 19:49:31,摘要: [#文字: 我是优酷的mc解说斗鲨，如果你不认识，没关系！↓ 求全国人民给个小小的订阅吧！ 你可以加我粉丝群465596643！ 斗鲨优酷主页http://i.youku.com/dadag]

tid: 3887063255,作者: 史蒂夫的吊,标题: 求帮
时间: %s,2015-07-11 19:47:46,摘要: [#文字: 为什么我mc1.7.10用不了光影，1.7.2都可以，下了个1.7.10的整合包，里面有光影，但是设置里却没显示]

tid: 3887061861,作者: VCWZ,标题: 一年没发帖了，来求个人来教我tud？
时间: %s,2015-07-11 19:47:03,摘要: [#文字: 他说是tud 我只知道 bud]

tid: 3887055461,作者: QQ1034733,标题: 我的世界1.7.2正式开服
时间: %s,2015-07-11 19:43:46,摘要: [#文字: 服务器ip：s2.moeub.com:33808]

tid: 3887051707,作者: Saki_Michi,标题: 米娜快把尼们的皮肤爆出来咱给画√
时间: %s,2015-07-11 19:41:50,摘要: [#文字: 新手√恩还是一个渣开坑√请多多下单咱是Saki大概】会把亲的皮肤画的美美哒√先放Alex 像素有点渣再加上咱手抖咱去调调QAQ; #图片: http://imgsrc.baidu.com/forum/pic/item/61d25e899e510fb323c64ba4df33c895d0430cc0.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/b1ccf039b6003af39bbae353332ac65c1038b6a4.jpg]

tid: 3887049621,作者: a1141666086,标题: 什么意思？
时间: %s,2015-07-11 19:40:43,摘要: [#图片: http://imgsrc.baidu.com/forum/pic/item/8b2ca244ebf81a4cc3bfd0fad12a6059252da617.jpg]

tid: 3887049531,作者: o法兰克福o,标题: 求助！有没有1.8.1的forge
时间: %s,2015-07-11 19:40:40,摘要: [#文字: 网上的全是说是1.8.1结果是1.8的]

tid: 3887048013,作者: MC丶岩浆菌,标题: 我的世界直播
时间: %s,2015-07-11 19:39:55,摘要: [#文字: 岩浆菌初来乍到，请多多关照 这是MC1.6.4枪战服直播 ; #图片: http://imgsrc.baidu.com/forum/pic/item/194e2ab30f2442a7f6f4c096d743ad4bd113022d.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/17f053c6a7efce1b49fff5f9a951f3deb58f65c8.jpg]

tid: 3887047382,作者: fgzsdtfdvb,标题: 海岛怎么升级啊！求大神请教
时间: %s,2015-07-11 19:39:36,摘要: [#文字: 我在梦之地玩海岛不知怎样才能升级这样好发展 谢谢！告诉我答案的大神]

tid: 3887043630,作者: 怡红公子潇湘妃,标题: 求1.7.10木匠方块Mods！吧务别手滑，找到自删！
时间: %s,2015-07-11 19:37:42,摘要: [#文字: 本人建筑党，想用该MOD弄些好玩的建筑，有知道的玩家发一下！谢谢]

tid: 3887038235,作者: 死神一护啊,标题: 为什么下载了forge1.7.2    打不开呢
时间: %s,2015-07-11 19:34:59,摘要: [#文字: RT 怎么点都没反应]

tid: 3887035652,作者: 李春林212,标题: 发个图，随便拿
时间: %s,2015-07-11 19:33:40,摘要: [#图片: http://imgsrc.baidu.com/forum/pic/item/350eb613b07eca80d49309d4972397dda144830a.jpg]

tid: 3887024454,作者: 翼魂炽,标题: 求助mcpc+开服错误提示  问完自删
时间: %s,2015-07-11 19:27:58,摘要: [#文字: We appear to be missing one or more essential library files. You will need to add them to your server before FML and Forge will run successf]

tid: 3887022084,作者: Top丶碎魂,标题: 【求解】为什么启动游戏后，游戏就没反应了？
时间: %s,2015-07-11 19:26:47,摘要: [#文字: RT。已下载Java了，为什么还不能打开？]

tid: 3887019538,作者: 虚胖的左脑,标题: 我发表了一篇图片贴，大伙来看看吧~
时间: %s,2015-07-11 19:25:32,摘要: [#文字:  ; #图片: http://imgsrc.baidu.com/forum/pic/item/7fc3f400baa1cd1161e14613bf12c8fcc3ce2d48.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/414335385343fbf2037b9210b67eca8065388f49.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/5e2ced95d143ad4beb7872f384025aafa40f0649.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/f5946210b912c8fcd4a2c2fefa039245d688214a.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/fbc6a81001e93901eb53b90d7dec54e736d1964b.jpg]

tid: 3887019414,作者: 393小翔,标题: 【求助】暮色森林传送阵按步骤弄不出
时间: %s,2015-07-11 19:25:28,摘要: [#文字: 如题，是不是没有安装mod，求助，我玩的是1.81，在论坛看大多是1.8和之前的，这些版本能通用嘛？]

